id_pdl,moy,ecart,n_zero,n_jours,puissance,type_client,cv,conso_par_kva,ratio_chute,ratio_vs_pairs,fraude
PDL-000001,12.70127222982216,17.11946470152864,0,731,6,residentiel,1.3478543244929992,2.11687870497036,0.8630813763684245,1.1645381798113583,0
PDL-000002,12.741436388508891,5.972002279104803,0,731,12,residentiel,0.46870714549034426,1.0617863657090743,0.8958212648487058,1.168220700381296,0
PDL-000003,17.346005471956225,19.201803137932522,52,731,6,residentiel,1.1069870333533918,2.891000911992704,0.6011704155547084,1.5903986052578767,0
PDL-000004,76.30507523939809,61.906465117827096,0,731,12,professionnel,0.8113020650802444,6.358756269949841,1.1435976585517598,1.5126133802221071,0
PDL-000005,12.544131326949385,8.997892213103023,0,731,6,residentiel,0.7172989486942198,2.0906885544915643,1.0998692459851813,1.150130443507927,0
PDL-000006,97.52060191518467,98.46206456848878,0,731,12,professionnel,1.0096539873095012,8.126716826265389,0.9300117976055231,1.933173735055288,0
PDL-000007,79.84456908344733,53.80425079885778,0,731,12,professionnel,0.6738623730641689,6.653714090287277,0.8981233620366903,1.5827775957860846,0
PDL-000008,8.963392612859097,4.508832486599976,0,731,9,residentiel,0.5030274452255385,0.9959325125398997,0.9013579410028209,0.8218242022877783,0
PDL-000009,8.489329685362517,5.387727044009163,0,731,12,residentiel,0.6346469325250493,0.7074441404468764,0.9808288197505983,0.7783589203291188,0
PDL-000010,46.0334610123119,38.72476403075762,0,731,36,professionnel,0.8412307738581826,1.2787072503419974,0.4273350764611755,0.9125320805555496,0
PDL-000011,15.260383036935705,10.725817751035313,0,731,12,residentiel,0.7028537701232606,1.2716985864113088,0.9172389078318427,1.399174693959462,0
PDL-000012,10.999001367989056,4.864662424898289,0,731,6,residentiel,0.4422821910956534,1.8331668946648427,0.8420050761421318,1.0084625225767607,0
PDL-000013,15.521641586867304,10.664926181281608,0,731,6,residentiel,0.6871004024667783,2.586940264477884,0.8015250723537019,1.4231286373670475,0
PDL-000014,496.5797400820793,426.2507785305237,0,731,250,industriel,0.858373276485402,1.9863189603283171,1.1159565675148269,0.8161081358743942,0
PDL-000015,11.722462380300959,9.679010348462159,0,731,12,residentiel,0.8256806492062005,0.9768718650250799,0.8097906637758915,1.0747943006221152,0
PDL-000016,54.31281805745554,33.60242526298546,0,731,12,professionnel,0.6186831481923603,4.526068171454628,0.9055421856647968,1.0766557146235267,0
PDL-000017,32.32071135430916,30.893815128467246,0,731,36,professionnel,0.9558519547976572,0.8977975376196989,0.971039301554629,0.640701032001371,0
PDL-000018,15.37656634746922,12.843885698561609,0,731,12,residentiel,0.835289583404005,1.2813805289557683,0.7469432438580527,1.4098271623519965,0
PDL-000019,8.01281805745554,5.519579470134075,0,731,12,residentiel,0.6888437289548055,0.667734838121295,1.002204261572373,0.7346691250250852,0
